SKU,SKU_No,Weight_g
8.90422E+12,8904223815682,210
8.90422E+12,8904223815859,165
8.90422E+12,8904223815866,113
8.90422E+12,8904223815873,65
8.90422E+12,8904223816214,120
8.90422E+12,8904223816665,102
8.90422E+12,8904223817273,65
8.90422E+12,8904223817334,170
8.90422E+12,8904223817501,350
8.90422E+12,8904223818430,165
8.90422E+12,8904223818478,350
8.90422E+12,8904223818553,115
8.90422E+12,8904223818577,150
8.90422E+12,8904223818591,120
8.90422E+12,8904223818614,65
8.90422E+12,8904223818638,137
8.90422E+12,8904223818645,137
8.90422E+12,8904223818669,240
8.90422E+12,8904223818683,121
8.90422E+12,8904223818706,127
8.90422E+12,8904223818713,120
8.90422E+12,8904223815804,160
8.90422E+12,8904223818454,232
8.90422E+12,8904223818751,113
8.90422E+12,8904223818850,240
8.90422E+12,8904223818935,120
8.90422E+12,8904223818874,100
8.90422E+12,8904223818997,490
8.90422E+12,8904223818942,133
8.90422E+12,8904223819024,112
8.90422E+12,8904223819031,112
8.90422E+12,8904223818980,110
8.90422E+12,8904223819017,115
8.90422E+12,8904223819093,150
8.90422E+12,8904223819109,100
8.90422E+12,8904223819116,30
8.90422E+12,8904223819161,115
8.90422E+12,8904223819147,240
8.90422E+12,8904223819130,350
8.90422E+12,8904223818881,140
8.90422E+12,8904223818898,140
8.90422E+12,8904223819277,350
8.90422E+12,8904223819284,350
8.90422E+12,8904223819345,165
8.90422E+12,8904223819352,165
8.90422E+12,8904223819239,290
8.90422E+12,8904223819246,290
8.90422E+12,8904223819253,290
8.90422E+12,8904223819291,112
8.90422E+12,8904223819437,552
GIFTBOX202001,GIFTBOX202001,500
GIFTBOX202004,GIFTBOX202004,500
GIFTBOX202002,GIFTBOX202002,500
8.90422E+12,8904223819369,170
GIFTBOX202003,GIFTBOX202003,500
8.90422E+12,8904223819123,250
GIFTBOX202002,GIFTBOX202002,500
8.90422E+12,8904223819468,240
8.90422E+12,8904223819260,130
8.90422E+12,8904223819321,600
8.90422E+12,8904223819338,600
8.90422E+12,8904223819505,210
8.90422E+12,8904223819499,210
8.90422E+12,8904223819512,210
8.90422E+12,8904223819543,300
SACHETS001,SACHETS001,10
