AWB Number,Order ID,SKU No,Order Qty,WeightPerQty,Total weight as per X (KG),Weight slab as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,CourierRatePer0.5KG,Billing_Amount
1091117437680.00,2001808801.00,8904223815682.00,1,210,0.21,0.5,0.8,1,d,d,45.4,90.2
1091117435134.00,2001808118.00,8904223815859.00,1,165,0.165,0.5,0.5,1,b,b,33,33
1091117437050.00,2001808675.00,8904223815859.00,1,165,0.165,0.5,1.2,1.49,b,b,33,89.6
1091117437680.00,2001808801.00,8904223815859.00,1,165,0.165,0.5,0.8,1,d,d,45.4,90.2
1091117958395.00,2001811363.00,8904223815859.00,1,165,0.165,0.5,0.59,1,d,d,45.4,90.2
1091117958395.00,2001811363.00,8904223815859.00,1,165,0.165,0.5,0.59,1,d,d,45.4,90.2
1091120922803.00,2001820978.00,8904223815859.00,1,165,0.165,0.5,0.5,1,d,d,45.4,45.4
1091117437050.00,2001808675.00,8904223815866.00,1,113,0.113,0.5,1.2,1.49,b,b,33,89.6
1091117437680.00,2001808801.00,8904223815866.00,2,113,0.226,0.5,0.8,1,d,d,45.4,90.2
1091117958395.00,2001811363.00,8904223815873.00,1,65,0.065,0.5,0.59,1,d,d,45.4,90.2
1091117221940.00,2001806210.00,8904223816214.00,1,120,0.12,0.5,2.92,3,b,b,33,174.5
1091117224902.00,2001806567.00,8904223816214.00,1,120,0.12,0.5,1.16,1.49,d,d,45.4,135
1091117437293.00,2001808739.00,8904223816214.00,1,120,0.12,0.5,1.63,2,d,d,45.4,179.8
1091117795531.00,2001809794.00,8904223816214.00,1,120,0.12,0.5,1.5,2,d,d,45.4,135
1091117795623.00,2001809820.00,8904223816214.00,1,120,0.12,0.5,3,3,d,d,45.4,269.4
1091117957780.00,2001811192.00,8904223816214.00,1,120,0.12,0.5,1.13,1.49,d,d,44.8,258.9
1091121846136.00,2001811305.00,8904223816214.00,1,120,0.12,0.5,0.5,1,d,d,45.4,45.4
