,AWB Number,Order ID,Order Qty,WeightPerQty,Total weight as per X (KG),Weight slab as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,CourierRatePer0.5KG,Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.) ,Difference Between Expected Charges and Billed Charges (Rs.)
0,1091117437680.0,2001808801.0,1,210,0.21,0.5,0.8,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
1,1091117435134.0,2001808118.0,1,165,0.165,0.5,0.5,1.0,b,b,33.0,33.0,33.0,0.0
2,1091117437050.0,2001808675.0,1,165,0.165,0.5,1.2,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
3,1091117437680.0,2001808801.0,1,165,0.165,0.5,0.8,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
4,1091117958395.0,2001811363.0,1,165,0.165,0.5,0.59,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
5,1091117958395.0,2001811363.0,1,165,0.165,0.5,0.59,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
6,1091120922803.0,2001820978.0,1,165,0.165,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
7,1091117437050.0,2001808675.0,1,113,0.113,0.5,1.2,1.49,b,b,33.0,33.0,89.6,-56.599999999999994
8,1091117437680.0,2001808801.0,2,113,0.226,0.5,0.8,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
9,1091117958395.0,2001811363.0,1,65,0.065,0.5,0.59,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
10,1091117221940.0,2001806210.0,1,120,0.12,0.5,2.92,3.0,b,b,33.0,33.0,174.5,-141.5
11,1091117224902.0,2001806567.0,1,120,0.12,0.5,1.16,1.49,d,d,45.4,45.4,135.0,-89.6
12,1091117437293.0,2001808739.0,1,120,0.12,0.5,1.63,2.0,d,d,45.4,45.4,179.8,-134.4
13,1091117795531.0,2001809794.0,1,120,0.12,0.5,1.5,2.0,d,d,45.4,45.4,135.0,-89.6
14,1091117795623.0,2001809820.0,1,120,0.12,0.5,3.0,3.0,d,d,45.4,45.4,269.4,-223.99999999999997
15,1091117957780.0,2001811192.0,1,120,0.12,0.5,1.13,1.49,d,d,44.8,44.8,258.9,-214.09999999999997
16,1091121846136.0,2001811305.0,1,120,0.12,0.5,0.5,1.0,d,d,45.4,45.4,45.4,0.0
17,1091118004245.0,2001811604.0,1,120,0.12,0.5,0.8,1.0,b,b,33.0,33.0,61.3,-28.299999999999997
18,1091118553701.0,2001813009.0,1,120,0.12,0.5,1.0,1.0,d,d,45.4,45.4,90.2,-44.800000000000004
19,1091119169701.0,2001815688.0,1,120,0.12,0.5,0.2,0.5,d,d,45.4,45.4,45.4,0.0
20,1091119398844.0,2001816684.0,2,120,0.24,0.5,0.99,1.0,d,d,44.8,44.8,172.8,-128.0
